time,open,high,low,close,Volume,Long Entry,Long Exit,KD,J,RSI,T10Y2Y,HY_Spread,Copper_Gold_Log,WEI,Sahm_Rule,UM_Sentiment,URANIUM,USDKRW,US10Y,US02Y,ALUMINUM,LITHUSD,REMX,XAUUSD,BTCUSD,IXIC,FXCM COPPER (FX:COPPER)
2020-02-28,8826.9,8900,8444.1,8697,224289394.67410514,0,0,23.214747045575923,7.826429514292009,3.865432820910783,0.27,5.04,-6.424562694368996,1.61,0,101,,1199.7,1.154,0.923,,,32.94,1586.542,8703.84,8567.37,2.5435
2020-02-29,8696.4,8784.7,8525,8530,113118583.75857505,0,0,18.932988022949086,0.5344317007400434,-0.3220324192482735,0.27,5.06,-6.424562694368996,1.61,0,101,,1199.7,1.154,0.923,,,32.94,1586.542,8527.74,8567.37,2.5435
2020-03-01,8530.1,8747,8415,8530.5,165701452.79861724,0,0,15.925995946321272,-0.7907624063527834,-0.29821544142433254,0.27,5.06,-6.424562694368996,1.61,0.3,89.1,,1199.7,1.154,0.923,,,32.94,1586.542,8528.95,8567.37,2.5435
2020-03-02,8530.6,8965.5,8490,8910,167351992.48355272,0,1,18.911953941217277,18.018469752120254,16.636181429146546,0.26,4.97,-6.420917098889348,1.37,0.3,89.1,,1189.11,1.167,0.907,,,34.74,1589.534,8917.34,8952.16,2.605
2020-03-03,8910,8913.9,8653.1,8752.1,180156111.1322723,0,0,19.442685396440048,20.32277193994848,11.868542494414527,0.31,4.84,-6.460058321724116,1.37,0.3,89.1,,1180,1.002,0.705,,,33.87,1640.886,8755.45,8684.09,2.5835
2020-03-04,8752,8845.8,8670,8751.5,104144294.68594761,0,0,21.091027756013972,25.651926926703,11.850110296355226,0.35,4.75,-6.454166837687603,1.37,0.3,89.1,,1184.23,1.057,0.7,,,35.07,1636.98,8753.28,9018.09,2.586
2020-03-05,8750.9,9155.5,8750.9,9060,182681117.55592752,0,1,31.295841326515426,59.08832483811355,24.946703978527566,0.33,5.05,-6.474308049619085,1.37,0.3,89.1,,1188.22,0.915,0.601,,,34.11,1672.234,9066.65,8738.6,2.5625
2020-03-06,9059.1,9180,8992,9135.2,150295139.08762977,0,1,45.8796630763638,96.2354592067838,27.917173331763834,0.25,5.64,-6.481812447561942,1.37,0.3,89.1,,1188.2,0.765,0.514,,,33.48,1674.062,9153.79,8575.62,2.556
2020-03-07,9135.2,9193.2,8850,8898.5,163228807.206453,0,0,50.609990683903405,87.61370776796241,19.352924711438362,0.25,5.64,-6.481812447561942,1.37,0.3,89.1,,1188.2,0.765,0.514,,,33.48,1674.062,8893.93,8575.62,2.556
2020-03-08,8897.3,8897.3,7996,8033.9,248460366.39955774,0,0,40.88912424787384,35.088816699829465,-3.520053509302926,0.25,5.64,-6.481812447561942,1.37,0.3,89.1,,1188.2,0.765,0.514,,,33.48,1674.062,8033.7,8575.62,2.556
